"protocol","nCD","ReSx","ReSz","meanN"
"qudit_sharpen_only",10,0.6100474748759104,0.6100474748759103,27.69056544036313
"qudit_sharpen_only",11,0.6027763250408705,0.6027763250408705,29.452145282852964
"qudit_sharpen_only",12,0.6102351170425993,0.6102351170425991,30.665139002441986
"qudit_sharpen_only",13,0.592422853502813,0.5924228535028132,32.06491689349718
"qudit_sharpen_only",14,0.5945695267365486,0.5945695267365485,32.889702532190626
"qudit_sharpen_only",15,0.5717215061141293,0.5717215061141296,34.00200087691218
"qudit_sharpen_only",16,0.5722301228178626,0.5722301228178625,34.545827782389495
"qudit_sharpen_only",17,0.5478768914927292,0.5478768914927293,35.432873694314125
"qudit_sharpen_only",18,0.5486749935655528,0.5486749935655529,35.77643600096736
"qudit_sharpen_only",19,0.5249047311983737,0.5249047311983737,36.48790385365085
"qudit_sharpen_only",20,0.526770292563815,0.526770292563815,36.690242216144284
"qudit_sharpen_only",21,0.5046995062752941,0.5046995062752944,37.264872150710964
"qudit_sharpen_only",22,0.5077788648924022,0.5077788648924022,37.36877508104398
"qudit_sharpen_only",23,0.4878963840055299,0.4878963840055299,37.83644955356526
"qudit_sharpen_only",24,0.4920336539378495,0.49203365393784954,37.872776150267185
"qudit_sharpen_only",25,0.4744419165891657,0.47444191658916585,38.25646559518817
"qudit_sharpen_only",26,0.4793636604230773,0.4793636604230774,38.24735438499598
"qudit_sharpen_only",27,0.46395046753182445,0.46395046753182445,38.56473380248445
"qudit_sharpen_only",28,0.4693664479589241,0.4693664479589241,38.52596542099746
"qudit_sharpen_only",29,0.4559205563265954,0.4559205563265957,38.7906739038631
"qudit_sharpen_only",30,0.4615742685651822,0.4615742685651822,38.73341392921305
"qudit_sharpen_only",31,0.44985469494218844,0.4498546949421885,38.95600850086386
"qudit_sharpen_only",32,0.455542622017414,0.4555426220174142,38.88808813591766
"qudit_sharpen_only",33,0.4453151343171469,0.4453151343171469,39.0767644700126
"qudit_sharpen_only",34,0.45088815111903374,0.4508881511190338,39.00361575830759
"qudit_sharpen_only",35,0.4419415496600244,0.4419415496600246,39.16475735968655
"qudit_sharpen_only",36,0.44729785567290775,0.44729785567290775,39.09009245903568
"qudit_sharpen_only",37,0.4394490488030768,0.4394490488030771,39.22869192520633
"qudit_sharpen_only",38,0.44452441415701366,0.44452441415701366,39.1549947529882
"qudit_sharpen_only",39,0.43761789852673266,0.4376178985267329,39.27497727516646
"qudit_sharpen_only",40,0.4423762154794842,0.4423762154794843,39.203858698146384
"qudit_sharpen_only",41,0.436281151522209,0.4362811515222089,39.30832984497738
"qudit_sharpen_only",42,0.44070648024153103,0.4407064802415311,39.240783960867134
"qudit_sharpen_only",43,0.43531304842313945,0.43531304842313934,39.33221883266884
"qudit_sharpen_only",44,0.43940340003187217,0.43940340003187217,39.26880758506847
"qudit_sharpen_only",45,0.43461925705270044,0.43461925705270055,39.34919486982293
"qudit_sharpen_only",46,0.43838195130004004,0.4383819513000401,39.290180746076565
"qudit_sharpen_only",47,0.4341291240036604,0.4341291240036604,39.36113230926532
"qudit_sharpen_only",48,0.4375774292383062,0.4375774292383062,39.30657346404157
"qudit_sharpen_only",49,0.43378973102782414,0.43378973102782425,39.369407713996786
"qudit_sharpen_only",50,0.43694048797484975,0.43694048797484986,39.31922593088012
"qubit_sharpen",0,0.043213918263771835,0.043213918263771835,0
"qubit_sharpen",2,0.1658860373162474,0.16588603731624774,3.1357605306520386
"qubit_sharpen",4,0.28343662543647974,0.2834366254364796,6.27659633499767
"qubit_sharpen",6,0.392528367497544,0.3925283675020799,9.422293517240098
"qubit_sharpen",8,0.4905073613332958,0.4904887381283758,12.572268259465346
"qubit_sharpen",10,0.5732781091263808,0.573179204978558,15.702446529026522
"qubit_sharpen",12,0.6329732535859901,0.6299514933740907,18.693229711274462
"qubit_sharpen",14,0.6622965337709,0.6560898474742005,21.378799315217783
"qubit_sharpen",16,0.6856465164486446,0.6750283286334047,23.781006720248854
"qubit_sharpen",18,0.6803545158834358,0.6649122531758975,25.931093471015085
"qubit_sharpen",20,0.6833173258691841,0.6650169124866262,27.739356186473213
"qubit_sharpen",22,0.6621004564539503,0.637427245929102,29.40949015752272
"qubit_sharpen",24,0.6562036964666363,0.6314444068572965,30.73729508904183
"qubit_sharpen",26,0.6296633824532542,0.5982095672188906,32.01608337286971
"qubit_sharpen",28,0.6211990297829861,0.5919749852359018,32.98121620506926
"qubit_sharpen",30,0.5947908875188448,0.5592500190955787,33.95396098198269
